CS14_ENG_001_00	per:holds_shares_in	LDC	bolt-eng-DF-170-181113-84603:83990-84106	Global Crossing	bolt-eng-DF-170-181113-84603:11752-11766	1.0
CS14_ENG_034_01	per:alternate_names	LDC	APW_ENG_20100921.0835:1196-1230	Agent Rose	APW_ENG_20100921.0835:1221-1230	1.0
CS14_ENG_035_00	per:city_of_death	LDC	bolt-eng-DF-199-192823-6757122:152-260,bolt-eng-DF-199-192823-6757122:262-274	Chadds Ford	bolt-eng-DF-199-192823-6757122:246-256	1.0
CS14_ENG_035_01	gpe:headquarters_in_city	LDC	APW_ENG_20091001.1414:517-601	Brandywine River Museum	APW_ENG_20091001.1414:549-571	1.0
CS14_ENG_036_00	per:employee_or_member_of	LDC	eng-NG-31-106370-8897334:12399-12541	Astoria Federal Savings	eng-NG-31-106370-8897334:7542-7564	1.0
CS14_ENG_036_01	org:stateorprovince_of_headquarters	LDC	eng-NG-31-106370-8897334:7542-7617	New York	eng-NG-31-106370-8897334:653-660	1.0
CS14_ENG_037_00	gpe:residents_of_country	LDC	APW_ENG_20100323.0509:354-408	Canon Gideon Byamugisha	APW_ENG_20100323.0509:354-376	1.0
CS14_ENG_037_01	per:title	LDC	AFP_ENG_20100301.0384:781-812	Reverend	AFP_ENG_20100301.0384:781-788	1.0
CS14_ENG_038_00	org:employees_or_members	LDC	bolt-eng-DF-199-192783-6868064:6258-6319	John Twohey	bolt-eng-DF-199-192783-6868064:6258-6268	1.0
CS14_ENG_038_01	per:title	LDC	bolt-eng-DF-199-192783-6868064:6258-6319	vice president of editorial and operations	bolt-eng-DF-199-192783-6868064:6271-6312	1.0
CS14_ENG_038_00	org:employees_or_members	LDC	bolt-eng-DF-199-192783-6880723:63249-63346	Robert Koehler	bolt-eng-DF-199-192783-6880723:63249-63262	1.0
CS14_ENG_038_01	per:title	LDC	bolt-eng-DF-199-192783-6880723:63249-63306	journalist	bolt-eng-DF-199-192783-6880723:16101-16110	1.0
CS14_ENG_038_01	per:title	LDC	bolt-eng-DF-199-192783-6880723:63249-63320	editor	bolt-eng-DF-199-192783-6880723:63315-63320	1.0
CS14_ENG_038_01	per:title	LDC	bolt-eng-DF-199-192783-6880723:63249-63379	writer	bolt-eng-DF-199-192783-6880723:63374-63379	1.0
CS14_ENG_038_01	per:title	LDC	NYT_ENG_20100822.0018:6550-6574	critic	NYT_ENG_20100822.0018:6554-6559	1.0
CS14_ENG_038_01	per:title	LDC	LTW_ENG_20091027.0038:3462-3512	programming director	LTW_ENG_20091027.0038:3493-3512	1.0
CS14_ENG_038_01	per:title	LDC	eng-NG-31-142261-10040310:2191-2226	Syndicated Columnist	eng-NG-31-142261-10040310:2207-2226	1.0
CS14_ENG_038_01	per:title	LDC	eng-NG-31-113098-9050951:5796-5816	author	eng-NG-31-113098-9050951:5796-5801	1.0
CS14_ENG_038_00	org:employees_or_members	LDC	bolt-eng-DF-170-181125-9117856:5318-5356	Kathleen Parker	bolt-eng-DF-170-181125-9117856:5318-5332	1.0
CS14_ENG_038_01	per:title	LDC	NYT_ENG_20100714.0022:2601-2681	host	NYT_ENG_20100714.0022:2648-2652	1.0
CS14_ENG_038_01	per:title	LDC	bolt-eng-DF-170-181104-8731024:392-429	columnist	bolt-eng-DF-170-181104-8731024:322-330	1.0
CS14_ENG_039_00	per:employee_or_member_of	LDC	NYT_ENG_20100621.0143:139-284,NYT_ENG_20100621.0143:286-406	New York Times	NYT_ENG_20100621.0143:143-156	1.0
CS14_ENG_039_01	org:website	LDC	APW_ENG_20091024.0404:1000-1059	nytimes.com	APW_ENG_20091024.0404:1049-1059	1.0
CS14_ENG_039_00	per:employee_or_member_of	LDC	NYT_ENG_20100621.0143:139-284,NYT_ENG_20100621.0143:286-289	Washington Post	NYT_ENG_20100621.0143:275-289	1.0
CS14_ENG_039_01	org:website	LDC	eng-NG-31-127133-9200302:372-434	washingtonpost.com	eng-NG-31-127133-9200302:417-434	1.0
CS14_ENG_039_00	per:employee_or_member_of	LDC	NYT_ENG_20100621.0143:139-284,NYT_ENG_20100621.0143:286-339	Kansas City Star	NYT_ENG_20100621.0143:324-339	1.0
CS14_ENG_039_01	org:website	LDC	eng-NG-31-140118-8655101:8420-8462	KansasCity.com	eng-NG-31-140118-8655101:2775-2788	1.0
CS14_ENG_040_00	org:subsidiaries	LDC	APW_ENG_20090630.0217:2309-2366	Miami Herald	APW_ENG_20090630.0217:2313-2324	1.0
CS14_ENG_040_01	org:city_of_headquarters	LDC	eng-NG-31-141964-8678648:364-379	Miami	eng-NG-31-141964-8678648:158-162	1.0
CS14_ENG_040_00	org:subsidiaries	LDC	NYT_ENG_20091007.0129:1306-1428	Bradenton Herald	NYT_ENG_20091007.0129:1413-1428	1.0
CS14_ENG_040_01	org:city_of_headquarters	LDC	eng-WL-11-99173-9828915:9607-9622	Bradenton	eng-WL-11-99173-9828915:9607-9615	1.0
CS14_ENG_040_00	org:subsidiaries	LDC	eng-WL-11-99176-9829084:3180-3281	SJ Mercury News	eng-WL-11-99176-9829084:3190-3204	1.0
CS14_ENG_040_01	org:city_of_headquarters	LDC	eng-WL-11-99176-9829431:290-310	San Jose	eng-WL-11-99176-9829431:290-297	1.0
CS14_ENG_040_00	org:subsidiaries	LDC	bolt-eng-DF-199-192783-6863358:1552-1659	Philadelphia Inquirer	bolt-eng-DF-199-192783-6863358:933-953	1.0
CS14_ENG_040_01	org:city_of_headquarters	LDC	bolt-eng-DF-199-192783-6863358:933-953	Philadelphia	bolt-eng-DF-199-192783-6863358:933-944	1.0
CS14_ENG_040_00	org:subsidiaries	LDC	bolt-eng-DF-199-192783-6863358:4750-4779	Detroit Free Press	bolt-eng-DF-199-192783-6863358:4762-4779	1.0
CS14_ENG_040_01	org:city_of_headquarters	LDC	eng-NG-31-134040-9592549:487-504	Detroit	eng-NG-31-134040-9592549:487-493	1.0
CS14_ENG_040_00	org:subsidiaries	LDC	bolt-eng-DF-199-192783-6863358:4925-5033	Silicon Valley Community Newspapers	bolt-eng-DF-199-192783-6863358:4999-5033	1.0
CS14_ENG_040_00	org:subsidiaries	LDC	bolt-eng-DF-199-192783-6863358:8756-8891	Philadelphia Daily News	bolt-eng-DF-199-192783-6863358:4865-4887	1.0
CS14_ENG_040_01	org:city_of_headquarters	LDC	eng-NG-31-126831-8220266:508-530	Philadelphia	eng-NG-31-126831-8220266:508-519	1.0
CS14_ENG_041_00	per:organizations_founded	LDC	bolt-eng-DF-212-191668-3067618:1240-1280	Resource Group	bolt-eng-DF-212-191668-3067618:725-738	1.0
CS14_ENG_041_01	org:number_of_employees_members	LDC	bolt-eng-DF-212-191668-3067618:2531-2586	4000	bolt-eng-DF-212-191668-3067618:2565-2569	1.0
CS14_ENG_041_00	per:organizations_founded	LDC	bolt-eng-DF-212-191668-3067618:2103-2239,bolt-eng-DF-212-191668-3067618:2242-2276	Align Technology Inc.	bolt-eng-DF-212-191668-3067618:2256-2276	1.0
CS14_ENG_042_00	org:top_members_employees	LDC	eng-NG-31-127453-9229092:532-550	Ernie Suggs	eng-NG-31-127453-9229092:540-550	1.0
CS14_ENG_042_01	per:title	LDC	NYT_ENG_20090922.0058:3398-3422	Staff writer	NYT_ENG_20090922.0058:3398-3410	1.0
CS14_ENG_042_01	per:title	LDC	eng-NG-31-127453-9229092:537-550	VP	eng-NG-31-127453-9229092:537-538	1.0
CS14_ENG_042_01	per:title	LDC	NYT_ENG_20100416.0032:2711-2730	Reporter	NYT_ENG_20100416.0032:2711-2718	1.0
CS14_ENG_042_00	org:top_members_employees	LDC	eng-NG-31-127453-9229089:1324-1351	Barbara Ciara	eng-NG-31-127453-9229089:1339-1351	1.0
CS14_ENG_042_01	per:title	LDC	eng-NG-31-127453-9229089:1324-1351	president	eng-NG-31-127453-9229089:1329-1337	1.0
CS14_ENG_043_00	gpe:residents_of_city	LDC	NYT_ENG_20090828.0185:1880-1975	Elizabeth Smart	NYT_ENG_20090828.0185:1928-1942	1.0
CS14_ENG_043_01	per:age	LDC	bolt-eng-DF-170-181109-48011:5547-5602	14	bolt-eng-DF-170-181109-48011:5563-5573	1.0
CS14_ENG_043_00	gpe:residents_of_city	LDC	APW_ENG_20101031.0666:639-668	Sergei Berejnoi	APW_ENG_20101031.0666:639-653	1.0
CS14_ENG_043_01	per:age	LDC	APW_ENG_20101031.0666:619-668	49	APW_ENG_20101031.0666:619-637	1.0
CS14_ENG_044_00	per:employee_or_member_of	LDC	eng-NG-31-126142-9100330:593-686,eng-NG-31-126142-9100330:5813-5909	People	eng-NG-31-126142-9100330:194-199	1.0
CS14_ENG_044_01	org:date_dissolved	LDC	eng-NG-31-126142-9100330:1380-1490	1968-XX-XX	eng-NG-31-126142-9100330:1150-1153	1.0
CS14_ENG_045_00	org:employees_or_members	LDC	LTW_ENG_20090808.0012:1353-1403	Janet Murguia	LTW_ENG_20090808.0012:1391-1403	1.0
CS14_ENG_045_00	org:employees_or_members	LDC	NYT_ENG_20101004.0044:1972-2118,NYT_ENG_20101004.0044:2120-2169	Raul Yzaguirre	NYT_ENG_20101004.0044:468-481	1.0
CS14_ENG_045_01	per:city_of_birth	LDC	NYT_ENG_20101004.0044:2181-2247	San Juan	NYT_ENG_20101004.0044:2214-2221	1.0
CS14_ENG_045_00	org:employees_or_members	LDC	eng-NG-31-147907-10554401:12704-12774	Cecilia Munoz	eng-NG-31-147907-10554401:12704-12716	1.0
CS14_ENG_046_00	org:students	LDC	LTW_ENG_20090922.0031:634-732	Christy C. Bulkeley	LTW_ENG_20090922.0031:146-164	1.0
CS14_ENG_046_01	per:cause_of_death	LDC	LTW_ENG_20090922.0031:245-335	ovarian cancer	LTW_ENG_20090922.0031:322-335	1.0
CS14_ENG_046_00	org:students	LDC	eng-NG-31-126851-8229166:7789-7856	Robert Renix	eng-NG-31-126851-8229166:604-615	1.0
CS14_ENG_047_00	org:top_members_employees	LDC	LTW_ENG_20091019.0012:417-456,LTW_ENG_20091019.0012:391-406	DIANE LIM ROGERS	LTW_ENG_20091019.0012:391-406	1.0
CS14_ENG_047_00	org:top_members_employees	LDC	NYT_ENG_20100924.0016:1821-1880	Robert L. Bixby	NYT_ENG_20100924.0016:1821-1835	1.0
CS14_ENG_047_01	per:alternate_names	LDC	NYT_ENG_20101110.0214:869-922	Bob Bixby	NYT_ENG_20101110.0214:869-877	1.0
CS14_ENG_047_01	per:alternate_names	LDC	LTW_ENG_20090610.0018:1917-1984	Robert Bixby	LTW_ENG_20090610.0018:1917-1928	1.0
CS14_ENG_047_00	org:top_members_employees	LDC	WPB_ENG_20100809.0022:1090-1153	Michael Monroney	WPB_ENG_20100809.0022:57-72	1.0
CS14_ENG_048_00	gpe:residents_of_city	LDC	NYT_ENG_20090929.0191:1685-1743	Bollea	NYT_ENG_20090929.0191:944-949	1.0
CS14_ENG_048_01	per:alternate_names	LDC	APW_ENG_20090728.0721:195-274,APW_ENG_20090728.0721:285-392,APW_ENG_20090728.0721:393-454	Hulk Hogan	APW_ENG_20090728.0721:58-67	1.0
CS14_ENG_049_00	per:employee_or_member_of	LDC	eng-NG-31-126958-9171910:797-805,eng-NG-31-126958-9171910:838-942	Smith College	eng-NG-31-126958-9171910:930-942	1.0
CS14_ENG_049_01	org:city_of_headquarters	LDC	NYT_ENG_20100612.0097:487-521	Northampton	NYT_ENG_20100612.0097:504-514	1.0
CS14_ENG_049_00	per:employee_or_member_of	LDC	eng-NG-31-126958-9171910:797-805,eng-NG-31-126958-9171910:838-928,eng-NG-31-126958-9171910:945-972	University of Notre Dame	eng-NG-31-126958-9171910:949-972	1.0
CS14_ENG_049_01	org:city_of_headquarters	LDC	APW_ENG_20090916.1014:382-412	South Bend	APW_ENG_20090916.1014:386-395	1.0
CS14_ENG_049_00	per:employee_or_member_of	LDC	eng-NG-31-126958-9171910:797-805,eng-NG-31-126958-9171910:838-928,eng-NG-31-126958-9171910:975-1005	Centenary College	eng-NG-31-126958-9171910:975-991	1.0
CS14_ENG_049_00	per:employee_or_member_of	LDC	eng-NG-31-126958-9171910:797-805,eng-NG-31-126958-9171910:838-928,eng-NG-31-126958-9171910:1012-1048	Emory &amp; Henry College	eng-NG-31-126958-9171910:1012-1036	1.0
CS14_ENG_050_00	gpe:residents_of_city	LDC	APW_ENG_20101103.0024:548-579	The conservative	APW_ENG_20101103.0024:548-563	1.0
CS14_ENG_050_01	per:top_member_employee_of	LDC	APW_ENG_20100428.1229:377-447	Republican	APW_ENG_20100428.1229:58-67	1.0
CS14_ENG_051_00	org:founded_by	LDC	NYT_ENG_20091006.0009:1176-1208	Wade Rathke	NYT_ENG_20091006.0009:1176-1186	1.0
CS14_ENG_051_01	per:siblings	LDC	LTW_ENG_20090920.0004:1099-1151	Dale Rathke	LTW_ENG_20090920.0004:1099-1109	1.0
CS14_ENG_052_00	org:parents	LDC	bolt-eng-DF-199-192823-6762716:4533-4599,bolt-eng-DF-199-192823-6762716:4708-4779	Halliburton Company	bolt-eng-DF-199-192823-6762716:4535-4553	1.0
CS14_ENG_052_01	org:top_members_employees	LDC	eng-NG-31-126841-9161562:1384-1449	Dick Cheney	eng-NG-31-126841-9161562:1302-1313	1.0
CS14_ENG_053_00	per:cities_of_residence	LDC	NYT_ENG_20090704.0007:818-929,APW_ENG_20090719.0671:205-243,APW_ENG_20090719.0671:452-509	New York City	APW_ENG_20090719.0671:231-243	1.0
CS14_ENG_053_01	gpe:employees_or_members	LDC	XIN_ENG_20100102.0096:1199-1223	John Liu	XIN_ENG_20100102.0096:1216-1223	1.0
CS14_ENG_053_01	gpe:employees_or_members	LDC	APW_ENG_20090916.0190:184-286	William Thompson Jr.	APW_ENG_20090916.0190:210-229	1.0
CS14_ENG_053_01	gpe:employees_or_members	LDC	NYT_ENG_20090713.0008:779-860	Barbara Margolis	NYT_ENG_20090713.0008:58-73	1.0
CS14_ENG_053_01	gpe:employees_or_members	LDC	NYT_ENG_20100808.0067:4287-4351	Kate D. Levin	NYT_ENG_20100808.0067:4339-4351	1.0
CS14_ENG_053_01	gpe:employees_or_members	LDC	bolt-eng-DF-199-192783-6846593:7078-7172	Eric Gioia	bolt-eng-DF-199-192783-6846593:7103-7112	1.0
CS14_ENG_054_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100106.0189:5764-5847	Department of Fish and Game	NYT_ENG_20100106.0189:5805-5831	1.0
CS14_ENG_054_01	org:employees_or_members	LDC	NYT_ENG_20100106.0189:5764-5847	Bob Farrell	NYT_ENG_20100106.0189:5764-5774	1.0
CS14_ENG_055_00	per:spouse	LDC	eng-NG-31-109383-9018094:645-698	Charlize Theron	eng-NG-31-109383-9018094:645-659	1.0
CS14_ENG_055_01	per:origin	LDC	APW_ENG_20090714.1022:2700-2736	South African	APW_ENG_20090714.1022:440-451	1.0
CS14_ENG_056_00	org:founded_by	LDC	LTW_ENG_20090821.0138:2315-2437	Simon Ramo	LTW_ENG_20090821.0138:161-170	1.0
CS14_ENG_056_01	per:spouse	LDC	LTW_ENG_20090821.0138:117-170	Virginia Ramo	LTW_ENG_20090821.0138:70-82	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	APW_ENG_20090904.0506:542-615,APW_ENG_20090904.0506:199-216	H&R Block Inc.	APW_ENG_20090904.0506:199-216	1.0
CS14_ENG_057_01	org:alternate_names	LDC	bolt-eng-DF-203-185940-347814:1279-1314	H&R block	bolt-eng-DF-203-185940-347814:1292-1304	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	APW_ENG_20100812.0034:2004-2046	Universal Press Syndicate	APW_ENG_20100812.0034:2022-2046	1.0
CS14_ENG_057_01	org:alternate_names	LDC	APW_ENG_20100812.0034:2022-2068	Universal Uclick	APW_ENG_20100812.0034:2053-2068	1.0
CS14_ENG_057_01	org:alternate_names	LDC	APW_ENG_20100812.0034:2080-2225,APW_ENG_20100812.0034:2227-2267	Universal	APW_ENG_20100812.0034:2022-2030	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	APW_ENG_20100928.0763:404-553,APW_ENG_20100928.0763:555-567,APW_ENG_20100928.0763:206-224	Hallmark Cards Inc.	APW_ENG_20100928.0763:206-224	1.0
CS14_ENG_057_01	org:alternate_names	LDC	APW_ENG_20090802.0038:3069-3163	Hallmark	APW_ENG_20090802.0038:2932-2939	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	WPB_ENG_20100127.0045:1511-1630,WPB_ENG_20100127.0045:1305-1313	HNTB Corp	WPB_ENG_20100127.0045:1305-1313	1.0
CS14_ENG_057_01	org:alternate_names	LDC	eng-NG-31-126961-9173731:21221-21304	HNTB	eng-NG-31-126961-9173731:21271-21274	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	eng-NG-31-127442-9223146:4133-4189	Citizens for Justice in the Middle East	eng-NG-31-127442-9223146:677-715	1.0
CS14_ENG_057_01	org:alternate_names	LDC	eng-NG-31-128251-12089457:12089-12166	CJME	eng-NG-31-128251-12089457:12094-12097	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	eng-NG-31-148121-10557935:5982-6037	Intronic Solutions Group	eng-NG-31-148121-10557935:6014-6037	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	eng-NG-31-102460-11836616:32742-32777	Kaufman Foundation	eng-NG-31-102460-11836616:32760-32777	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	APW_ENG_20090624.0022:3224-3283	Mastio and Co.	APW_ENG_20090624.0022:3270-3283	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	APW_ENG_20091007.1288:669-732	Giant Labor Solutions	APW_ENG_20091007.1288:669-689	1.0
CS14_ENG_057_01	org:alternate_names	LDC	APW_ENG_20091007.1288:954-1098,APW_ENG_20091007.1288:1100-1115	GLS	APW_ENG_20091007.1288:1112-1114	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	APW_ENG_20101021.0052:2469-2538	Institute for Research and Education on Human Rights	APW_ENG_20101021.0052:2487-2538	1.0
CS14_ENG_057_01	org:alternate_names	LDC	bolt-eng-DF-170-181103-8882094:83840-83964	IREHR	bolt-eng-DF-170-181103-8882094:83843-83847	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	WPB_ENG_20101124.0084:809-848	Jane Mobley Associates	WPB_ENG_20101124.0084:827-848	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	APW_ENG_20090620.0669:4588-4618	Sprint Nextel	APW_ENG_20090620.0669:4606-4618	1.0
CS14_ENG_057_01	org:alternate_names	LDC	AFP_ENG_20090729.0702:710-841	Sprint	AFP_ENG_20090729.0702:340-345	1.0
CS14_ENG_057_01	org:alternate_names	LDC	bolt-eng-DF-170-181113-82942:18915-18939	Sprint Nextel Corporation	bolt-eng-DF-170-181113-82942:18915-18939	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100618.0070:1585-1708	Boulevard Brewing Co.	NYT_ENG_20100618.0070:1603-1623	1.0
CS14_ENG_057_01	org:alternate_names	LDC	NYT_ENG_20100921.0050:916-982	Boulevard	NYT_ENG_20100921.0050:95-103	1.0
CS14_ENG_057_01	org:alternate_names	LDC	eng-NG-31-108089-8957045:2808-2884	Boulevard Brewing	eng-NG-31-108089-8957045:2844-2860	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100612.0070:3561-3580	Kansas City Monarchs	NYT_ENG_20100612.0070:3561-3580	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100816.0212:4846-4866	Kansas City Athletics	NYT_ENG_20100816.0212:4846-4866	1.0
CS14_ENG_057_01	org:alternate_names	LDC	eng-NG-31-126958-8238213:3222-3275	Oakland A's	eng-NG-31-126958-8238213:3264-3274	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100725.0001:901-1047	AMC	NYT_ENG_20100725.0001:549-551	1.0
CS14_ENG_057_01	org:alternate_names	LDC	eng-NG-31-126855-9169081:13363-13379	AMC Entertainment	eng-NG-31-126855-9169081:13363-13379	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	NYT_ENG_20101222.0104:5823-5857	Bigelow Companies	NYT_ENG_20101222.0104:5841-5857	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	NYT_ENG_20101024.0085:1950-2051	UnitedLex	NYT_ENG_20101024.0085:1351-1359	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	NYT_ENG_20090725.0029:1817-1960,NYT_ENG_20090725.0029:283-291	American City Business Journals	NYT_ENG_20090725.0029:564-594	1.0
CS14_ENG_057_01	org:alternate_names	LDC	eng-NG-31-140016-9856665:1968-2004	American City Business Journals, Inc.	eng-NG-31-140016-9856665:1968-2004	1.0
CS14_ENG_057_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100414.0105:179-286	Hangers Cleaners	NYT_ENG_20100414.0105:196-211	1.0
CS14_ENG_058_00	per:organizations_founded	LDC	eng-NG-31-126152-9102497:2410-2466	ACCENT	eng-NG-31-126152-9102497:2270-2275	1.0
CS14_ENG_058_01	org:date_founded	LDC	eng-NG-31-126152-9102497:2410-2466	1991-XX-XX	eng-NG-31-126152-9102497:2462-2465	1.0
CS14_ENG_059_00	org:employees_or_members	LDC	NYT_ENG_20100912.0068:5848-5948	Peter	NYT_ENG_20100912.0068:3794-3798	1.0
CS14_ENG_059_00	org:employees_or_members	LDC	NYT_ENG_20100912.0068:5610-5729	Robbie	NYT_ENG_20100912.0068:5636-5641	1.0
CS14_ENG_059_01	per:title	LDC	NYT_ENG_20100912.0068:5610-5729	assistant coach	NYT_ENG_20100912.0068:5656-5670	1.0
CS14_ENG_059_01	per:title	LDC	NYT_ENG_20100912.0068:5610-5729	executive	NYT_ENG_20100912.0068:5679-5687	1.0
CS14_ENG_059_00	org:employees_or_members	LDC	eng-NG-31-142889-8745286:1286-1424	Chip Simmons	eng-NG-31-142889-8745286:1317-1328	1.0
CS14_ENG_059_01	per:title	LDC	eng-NG-31-142889-8745286:1286-1424	chaplain	eng-NG-31-142889-8745286:384-391	1.0
CS14_ENG_059_00	org:employees_or_members	LDC	APW_ENG_20090610.1068:1480-1612	John Freshwater	APW_ENG_20090610.1068:363-377	1.0
CS14_ENG_059_01	per:title	LDC	APW_ENG_20100728.1017:190-317	teacher	APW_ENG_20100728.1017:68-74	1.0
CS14_ENG_059_00	org:employees_or_members	LDC	APW_ENG_20091117.1117:2521-2611	Lorena Ochoa	APW_ENG_20091117.1117:193-204	1.0
CS14_ENG_059_01	per:title	LDC	APW_ENG_20091117.1117:1340-1393	athlete	APW_ENG_20091117.1117:1387-1393	1.0
CS14_ENG_059_01	per:title	LDC	APW_ENG_20091112.1228:746-813	player of the year	APW_ENG_20091112.1228:641-658	1.0
CS14_ENG_059_01	per:title	LDC	APW_ENG_20100423.0806:478-566	No. 1 player in women's golf	APW_ENG_20100423.0806:482-509	1.0
CS14_ENG_059_01	per:title	LDC	XIN_ENG_20100420.0353:174-274	golfer	XIN_ENG_20100420.0353:76-81	1.0
CS14_ENG_059_01	per:title	LDC	XIN_ENG_20101031.0258:172-321,XIN_ENG_20101031.0258:323-376	women's world No. 1 golfer	XIN_ENG_20101031.0258:179-203	1.0
CS14_ENG_059_00	org:employees_or_members	LDC	NYT_ENG_20101122.0173:656-733,NYT_ENG_20101122.0173:399-445	Chris Rainey	NYT_ENG_20101122.0173:412-423	1.0
CS14_ENG_059_01	per:title	LDC	NYT_ENG_20101016.0132:1034-1048	RB	NYT_ENG_20101016.0132:245-246	1.0
CS14_ENG_059_01	per:title	LDC	NYT_ENG_20101122.0173:403-423	teammate	NYT_ENG_20101122.0173:403-410	1.0
CS14_ENG_059_01	per:title	LDC	NYT_ENG_20101122.0173:554-627	recruit	NYT_ENG_20101122.0173:621-627	1.0
CS14_ENG_059_01	per:title	LDC	NYT_ENG_20100914.0166:109-162	wide receiver	NYT_ENG_20100914.0166:137-149	1.0
CS14_ENG_059_01	per:title	LDC	NYT_ENG_20100914.0166:2332-2378	starting wide receiver	NYT_ENG_20100914.0166:2334-2355	1.0
CS14_ENG_059_01	per:title	LDC	NYT_ENG_20090909.0206:1901-1944	sophomore	NYT_ENG_20090909.0206:1920-1928	1.0
CS14_ENG_059_01	per:title	LDC	NYT_ENG_20101106.0132:1704-1730	junior	NYT_ENG_20101106.0132:1559-1564	1.0
CS14_ENG_059_00	org:employees_or_members	LDC	NYT_ENG_20101122.0173:656-732,NYT_ENG_20101122.0173:637-647	Urban Meyer	NYT_ENG_20101122.0173:637-647	1.0
CS14_ENG_059_01	per:title	LDC	eng-NG-31-140133-8661829:6682-6818	star	eng-NG-31-140133-8661829:6797-6801	1.0
CS14_ENG_059_01	per:title	LDC	eng-NG-31-141957-8675511:4146-4254	coach	eng-NG-31-141957-8675511:199-203	1.0
CS14_ENG_061_00	org:top_members_employees	LDC	APW_ENG_20100204.1233:1280-1364	Robert "Woody" Johnson	APW_ENG_20100204.1233:1343-1364	1.0
CS14_ENG_061_01	per:children	LDC	APW_ENG_20100204.1145:237-281,APW_ENG_20100204.1145:620-689	Casey Johnson	APW_ENG_20100204.1145:237-249	1.0
CS14_ENG_062_00	gpe:births_in_country	LDC	XIN_ENG_20091230.0243:4863-4943	Meb Keflezighi	XIN_ENG_20091230.0243:4928-4941	1.0
CS14_ENG_062_01	per:origin	LDC	XIN_ENG_20091230.0243:4863-4943	American	XIN_ENG_20091230.0243:4919-4926	1.0
CS14_ENG_062_00	gpe:births_in_country	LDC	NYT_ENG_20091210.0130:2356-2395	Ahmad Abdullah Mini	NYT_ENG_20091210.0130:2356-2374	1.0
CS14_ENG_062_00	gpe:births_in_country	LDC	eng-NG-31-132847-9479652:676-772	Sam Tesfay	eng-NG-31-132847-9479652:437-446	1.0
CS14_ENG_063_00	org:stateorprovince_of_headquarters	LDC	APW_ENG_20101005.0029:2303-2340	Alberta	APW_ENG_20101005.0029:2334-2340	1.0
CS14_ENG_063_01	gpe:residents_of_stateorprovince	LDC	APW_ENG_20090925.1038:1615-1676,APW_ENG_20090925.1038:129-144	Theo Fleury	APW_ENG_20090925.1038:193-203	1.0
CS14_ENG_063_01	gpe:residents_of_stateorprovince	LDC	AFP_ENG_20100108.0061:959-1023	Wiebo Ludwig	AFP_ENG_20100108.0061:1012-1023	1.0
CS14_ENG_064_00	org:parents	LDC	eng-NG-31-107365-8905433:18438-18582	Hijazi and Ghosheh Group	eng-NG-31-107365-8905433:18558-18581	1.0
CS14_ENG_064_01	org:country_of_headquarters	LDC	eng-NG-31-107365-8905433:18438-18582	Jordan	eng-NG-31-107365-8905433:18545-18550	1.0
CS14_ENG_065_00	org:city_of_headquarters	LDC	APW_ENG_20090914.0583:383-451,APW_ENG_20090914.0583:186-255	Indianapolis	APW_ENG_20090914.0583:387-398	1.0
CS14_ENG_065_01	gpe:births_in_city	LDC	APW_ENG_20090711.0503:1133-1212	John Dillinger	APW_ENG_20090711.0503:239-252	1.0
CS14_ENG_065_01	gpe:births_in_city	LDC	NYT_ENG_20100101.0011:2923-2973	Ruth Lilly	NYT_ENG_20100101.0011:58-67	1.0
CS14_ENG_066_00	per:parents	LDC	LTW_ENG_20090623.0059:2678-2747	John Cassavetes	LTW_ENG_20090623.0059:2733-2747	1.0
CS14_ENG_066_01	per:date_of_death	LDC	LTW_ENG_20090623.0059:6625-6771,LTW_ENG_20090623.0059:6773-6802	1989-XX-XX	LTW_ENG_20090623.0059:6799-6802	1.0
CS14_ENG_066_00	per:parents	LDC	LTW_ENG_20090623.0059:366-445	Gena Rowlands	LTW_ENG_20090623.0059:388-400	1.0
CS14_ENG_067_00	gpe:deaths_in_city	LDC	AFP_ENG_20090917.0776:365-428	Mary Travers	AFP_ENG_20090917.0776:58-69	1.0
